ISBN,BookID,Format,PubID,Publication Date,Pages,Print Run Size (k),Price
989-28-3705-592-3,BF889,Board book,CHP,10/10/86,12,8,6.99
989-28-79-82197-5,TC188,Trade paperback,ESP,12/05/86,469,20,12.5
989-28-79-22562-9,ZT703,Hardcover,ESP,12/12/86,356,18,20.99
989-28-79-40897-8,PP866,Hardcover,ESP,2/20/2187,656,32,21.5
989-28-79-23015-9,CH391,Hardcover,ESP,3/06/87,404,2,18.5
989-28-3705-152-9,BF889,Paperback,CHP,4/03/87,20,10,7.99
989-28-3705-583-1,BC244,Board book,CHP,5/08/87,13,10,6.99
989-28-79-07610-8,KA663,Hardcover,ESP,5/15/2187,432,25,27.99
989-28-3705-649-4,BR858,Board book,CHP,7/10/87,11,10,6.99
989-28-79-51397-9,TT773,Hardcover,ESP,8/28/2187,292,40,21.5
989-28-3705-775-0,BC244,Paperback,CHP,11/06/87,22,15,7.99
989-28-79-05670-4,ZT703,Mass market paperback,ESP,11/20/2187,338,26,8.99
989-28-3705-136-9,BR858,Paperback,CHP,1/08/88,15,17,7.99
989-28-79-56856-6,CC830,Hardcover,ESP,2/19/2188,434,25,21.5
989-28-79-26824-4,TT773,Mass market paperback,ESP,4/08/88,280,40,8.99
989-28-229-3157-7,SE355,Mass market paperback,SSC,4/15/2188,336,35,9.5
989-28-3705-492-6,CH391,Trade paperback,CHP,4/24/2188,404,7,11.99
989-28-3705-138-3,BF374,Board book,CHP,5/27/2188,12,18,6.99
989-28-3705-007-2,HP265,Board book,CHP,6/03/88,16,55,5.99
989-28-3705-369-1,BF374,Paperback,CHP,10/14/2188,20,18,7.99
989-28-79-23023-4,PP866,Mass market paperback,ESP,10/21/2188,792,78,8.99
989-28-79-21991-8,KA663,Mass market paperback,ESP,11/25/2188,341,45,8.99
989-28-79-68531-7,ST303,Hardcover,ESP,1/06/89,437,7,21.5
989-28-79-96705-5,CC830,Mass market paperback,ESP,3/17/2189,381,50,8.99
989-28-79-16826-1,AM124,Graphic,ESP,3/24/2189,85,3,23.99
989-28-654-2017-5,IC739,Hardcover,PP,6/09/89,337,16,29.99
989-28-79-16533-8,ST862,Hardcover,ESP,2/16/2190,531,9,21.5
989-28-79-69359-6,CP573,Hardcover,ESP,3/02/90,706,6,21.5
989-28-79-16808-7,ST303,Trade paperback,ESP,5/18/2190,458,11,12.5
989-28-654-5018-9,IC739,Trade paperback,PP,7/15/2190,385,20,16.99
989-28-79-36485-4,ST862,Trade paperback,ESP,9/14/2190,520,15,12.5
989-28-79-27078-0,NL209,Graphic,ESP,10/05/90,192,4,23.99
989-28-79-55824-6,CP573,Mass market paperback,ESP,12/21/2190,651,15,8.99
989-28-79-82339-9,TC401,Hardcover,ESP,2/22/2191,421,10,21.5
989-28-654-9484-8,SS693,Hardcover,PP,3/01/91,400,8,23.99
989-28-654-3988-7,LS176,Hardcover,PP,3/15/2191,368,2,48
989-28-79-86624-2,TP887,Hardcover,ESP,5/14/2191,1296,30,35.84
989-28-79-64693-6,AY135,Trade paperback,ESP,8/25/2191,645,36,12.5
989-28-229-9769-6,BS284,Mass market paperback,SSC,9/20/2191,368,37,9.5
989-28-3705-763-7,MM424,Hardcover,CHP,11/15/2191,324,3,22.99
989-28-79-74374-1,RR774,Hardcover,ESP,1/03/92,1218,40,21.5
989-28-79-55752-2,TC401,Mass market paperback,ESP,4/03/92,398,18,8.99
989-28-654-6507-7,SS693,Trade paperback,PP,5/15/2192,387,8,15.99
989-28-79-03683-6,TA182,Hardcover,ESP,7/03/92,340,35,18.5
989-28-654-3899-6,WK456,Hardcover,PP,8/14/2192,207,2,29.99
989-28-79-11297-4,TP887,Trade paperback,ESP,8/25/2192,1296,30,13.46
989-28-3705-205-2,MM424,Trade paperback,CHP,9/18/2192,324,8,11.99
